occurrence_no,collection_no,identified_name,identified_rank,accepted_name,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,class,order,family,genus,abund_value,abund_unit,taxon_environment,diet,composition,lng,lat,cc,state,county,latlng_basis,latlng_precision,geogscale,geogcomments
174252,16228,Vulpavus n. sp. palustris,species,Vulpavus palustris,Bridgerian,,50.3,46.2,3419,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,outcrop,
174253,16228,Vulpavus n. sp. profectus,species,Vulpavus profectus,Bridgerian,,50.3,46.2,1623,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,outcrop,
174363,16240,Vulpavus canavus,species,Vulpavus canavus,Bridgerian,,50.3,46.2,1761,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-105.099998,37.799999,US,Colorado,Huerfano,based on political unit,1,small collection," ""a small tributary arroyo to the arroyo that runs near the Roman Catholic Church in Gardner; in NW1/4 Sec. 12, T26S, R70W"""
174364,16240,Miacis parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,2921,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-105.099998,37.799999,US,Colorado,Huerfano,based on political unit,1,small collection," ""a small tributary arroyo to the arroyo that runs near the Roman Catholic Church in Gardner; in NW1/4 Sec. 12, T26S, R70W"""
174485,16254,Miacis cf. exiguus,species,Miacis exiguus,Bridgerian,,50.3,46.2,3329,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,,
174589,16280,Carnivora ? indet.,order,Carnivora,Bridgerian,,50.3,46.2,71260,Chordata,Mammalia,Carnivora,,,,,terrestrial,"carnivore, omnivore",phosphatic,-110.800003,43.900002,US,Wyoming,Teton,based on political unit,1,small collection,
174615,16284,Miacis hargeri,species,Vulpavus hargeri,Bridgerian,,50.3,46.2,1623,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,,
174738,16309,Uintacyon vorax,species,Miacis vorax,Bridgerian,,50.3,46.2,1737,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
174846,16337,Miacis parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,1737,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
174850,16339,Miacis parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,1737,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
174877,16345,Miacis parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,1737,Chordata,Mammalia,Carnivora,Miacidae,Miacis,1,specimens,terrestrial,carnivore,phosphatic,-110.699997,41.799999,US,Wyoming,Lincoln,based on political unit,1,small collection,
174908,16357,Vulpavus sp.,genus,Vulpavus,Bridgerian,,50.3,46.2,6294,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,1,specimens,terrestrial,"carnivore, omnivore",phosphatic,-110.325279,41.769169,US,Wyoming,Lincoln,based on nearby landmark,seconds,small collection,"""standing bodies of water"" in fluvial sediments"
174968,16388,Miacis cf. exiguus,species,Miacis exiguus,Bridgerian,,50.3,46.2,3329,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-107.099998,43.200001,US,Wyoming,Natrona,based on political unit,1,small collection,
174991,16393,Vulpavus profectus,species,Vulpavus profectus,Bridgerian,,50.3,46.2,6194,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-109,41.700001,US,Wyoming,Sweetwater,based on political unit,1,,Great Divide Basin
175003,16395,Miacis hargeri,species,Vulpavus hargeri,Bridgerian,,50.3,46.2,3419,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Vulpavus,,,terrestrial,"carnivore, omnivore",phosphatic,-110.5,41.200001,US,Wyoming,Uinta,based on political unit,1,,Bridger Basin<br>county assignment uncertain
175016,16396,Procynodictis cf. vulpiceps,species,Procynodictis vulpiceps,Bridgerian,,50.3,46.2,1735,Chordata,Mammalia,Carnivora,NO_FAMILY_SPECIFIED,Procynodictis,,,terrestrial,"carnivore, omnivore",phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,small collection,2 mi SE of Powder Springs
175023,16396,Miacis cf. parvivorus,species,Miacis parvivorus,Bridgerian,,50.3,46.2,2182,Chordata,Mammalia,Carnivora,Miacidae,Miacis,,,terrestrial,carnivore,phosphatic,-109.900002,40.200001,US,Utah,Uintah,based on political unit,1,small collection,2 mi SE of Powder Springs
